,cost_for_two,cuisines,locality,rest_name
61,,['Chinese'],Oud Metha,Golden Dragon Restaurant - مطعم جولدن...
62,,"['Cafe', 'Beverages', 'Desserts']",Al Barsha,Shakeism Milkshakes - شيكزم ميلك شيكس
63,,"['Japanese', 'Sushi']","Raffles Dubai, Umm Hurair 2",TOMO - Raffles Dubai
64,,"['Asian', 'Chinese']","Mall of the Emirates, Al Barsha",Din Tai Fung - دين تاي فونغ
65,,['Italian'],"Al Qasr, Madinat Jumeirah",Pierchic - Jumeirah Al Qasr
66,,"['Asian', 'Chinese']","BurJuman Centre, Mankhool",Asia Kitchen By Mainland China - اسيا...
67,,"['Asian', 'Sushi', 'Chinese', 'Indian']",Oud Metha,Tum Tum Asia - تام تام اسيا
68,,"['Goan', 'Indian', 'Chinese', 'Thai', 'Seafood']",Al Karama,Eric's - ايريك
69,,"['Indian', 'North Indian', 'South Indian', 'Chinese']",Mankhool,Kamat - كامات
70,,['Seafood'],Umm Suqeim,Bu Qtair - مطعم بو قطير
71,,['Lebanese'],Business Bay,Nurai
72,,['Indian'],"Dubai Marina Mall, Dubai Marina",Zafran - زافران
73,,"['Healthy Food', 'Cafe', 'Salad']",Jumeirah 1,Seva Table
74,,['Cafe'],Al Quoz,Tom&Serg;
75,,['Greek'],"Cluster P, Jumeirah Lake Towers",Mythos
76,,"['Grill', 'Fast Food']",Al Barsha,Grillo
77,,['Seafood'],"Centurion Star Tower, Deira City Centre Area",Dampa Seafood Grill - دامبا سي فود جريل
78,,"['Japanese', 'Bakery']","Al Ghurair Centre, Al Rigga",Yakitate - ياكي تاتي
79,,"['Asian', 'Thai']",Dubai Media City,Little Bangkok - ليتل بانكوك
80,,"['French', 'Mediterranean']",DIFC,LPM Restaurant & Bar
81,,"['Arabian', 'Middle Eastern']","CITY WALK, Al Safa",SIKKA Café
82,,"['Italian', 'Mexican', 'Continental', 'Desserts']",Oud Metha,Moreish - موريش
83,,"['American', 'Burger']","Dubai Festival City Mall, Festival City",Hard Rock Cafe
84,,['Thai'],Palace Downtown,Thiptara- Palace Downtown
85,,"['Burger', 'American']","Jumeirah Al Naseem, Madinat Jumeirah",Black Tap
86,,"['Italian', 'Pizza']","Cluster A, Jumeirah Lake Towers",Jazz@PizzaExpress - جاز بيتزا اكسبرس
87,,"['Fast Food', 'Burger']","Kite Beach, Umm Suqeim",Salt - سولت
88,,"['Cafe', 'Arabian', 'Emirati', 'Middle Eastern']",Meena Bazaar,Arabian Tea House
89,,"['Mediterranean', 'Italian', 'Seafood', 'Salad']","Dubai Creek Golf & Yacht Club, Garhoud",Boardwalk
90,,"['Brazilian', 'Steak', 'American']","Mall of the Emirates, Al Barsha",Texas De Brazil - تكساس دي برازيل
91,,"['Indian', 'Fast Food', 'Street Food', 'Chinese']",Al Karama,Mumbai Express - مومباي اكسبراس
92,,"['Indian', 'Street Food', 'Fast Food']",Al Karama,O'Pao Indian Sliders - او باو انديان...
93,,['American'],"The Galleria, Al Safa",Slider Station
94,,"['North Indian', 'Mughlai', 'Biryani']",Al Garhoud,India Palace - قصر الهند
95,,"['Indian', 'North Indian', 'Kebab']",Al Karama,Patiala House - باتيالا هاوس
96,,"['Asian', 'Japanese', 'Sushi']","Grosvenor House, Dubai Marina",Buddha Bar - Grosvenor House
97,,"['Pakistani', 'North Indian', 'BBQ', 'Chinese']",Barsha Heights,Hot 'N Spicy - هوت ان سبايسي
98,,"['Steak', 'Turkish', 'Seafood']","Four Seasons Resort Dubai at Jumeirah Beach, Jumeirah 2",Nusr-Et Steakhouse - نصرت ستيك هاوس -...
99,,['Contemporary'],"La Mer, Jumeirah 1",MASTI Cocktails & Cuisine
100,,"['Indian', 'Street Food', 'Burger']",Al Karama,That Place
101,,['Seafood'],"One&Only The Palm, Palm Jumeirah",101 Dining Lounge and Bar - One&Only; The Palm
102,,"['Middle Eastern', 'Arabian']","Cluster D, Jumeirah Lake Towers",Bait Maryam - بيت مريم
103,,['Italian'],DIFC,Roberto's
104,,"['Japanese', 'Seafood', 'Italian', 'Beverages']","The Dubai Mall,Downtown Dubai",Social House - سوشيال هاوس
105,,"['European', 'Arabian', 'Indian', 'Chinese']","The Canvas Hotel, Mankhool",Estrellas Rooftop Lounge - The Canvas Hotel
106,,"['Indian', 'Street Food']",Al Karama,The Bhukkad Cafe - كافيه بهوكاد
107,,['American'],"Cluster P, Jumeirah Lake Towers",Nola Eatery & Social House
