,cost_for_two,cuisines,locality,rest_name
69,,"['Indian', 'North Indian', 'Mughlai']","Eastern Mangroves Promenade, Eastern Mangroves",Peppermill
70,,"['Tex-Mex', 'Mexican']","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",Chili's
71,,"['South Indian', 'North Indian', 'Chinese', 'Seafood']",Al Markaziya,Subhiksha Restaurant
72,,"['Turkish', 'Arabian', 'Middle Eastern']",Al Khalidiya,Pasha Turkish Restaurant
73,,['Brazilian'],"Al Ghazal Golf Club, Masdar City",Ola Brasil Restaurant
74,,"['Indian', 'Chinese']","Madinat Zayed Shopping Centre, Madinat Zayed",Saravanaa Bhavan
75,,"['Arabian', 'Middle Eastern', 'Lebanese', 'Salad']","Al Seef Village Mall, Khalifa Park Area",Zaytinya
76,,"['Arabian', 'Middle Eastern', 'Mandi']",Al Khalidiya,Kabsah Time
77,,"['Asian', 'Chinese', 'Beverages']","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",P.F. Chang's - بي.ف. تشانغز
78,,"['Thai', 'Japanese', 'Chinese', 'Indonesian', 'Vietnamese']","Crowne Plaza Abu Dhabi, Al Markaziya",Cho Gao - Crowne Plaza Abu Dhabi
79,,"['Pakistani', 'Pizza']",Mussafah Shabiya,Naan House
80,,"['Steak', 'Burger', 'Salad', 'American', 'Mexican']",Al Khalidiya,DineBest
81,,"['Fast Food', 'Beverages']",Al Mushrif,Salt
82,,"['Emirati', 'Arabian', 'Middle Eastern']",Al Mushrif,Saudi Kitchen - المطبخ السعودي
83,,"['European', 'Filipino', 'Desserts']","World Trade Center Mall, Al Markaziya",Pancake House
84,,"['Lebanese', 'Arabian', 'Middle Eastern', 'Syrian', 'Burger', 'Pizza']","Paragon Mall, Al Reem Island",Bshawarma
85,,"['Healthy Food', 'European', 'Burger', 'American', 'Salad']",Najda,EasyBites
86,,"['Indian', 'South Indian', 'Chinese']",Tourist Club Area (Al Zahiyah),Nalas Aappakadai
87,,"['Cafe', 'Emirati', 'Indian']",Muroor,Shay Madhboot
88,,"['Brazilian', 'Steak', 'American']","Yas Mall, Yas Island",Texas de Brazil
89,,"['Cafe', 'European']",Al Khalidiya,The Third Place
90,,"['Seafood', 'Sushi']",Al Khubeirah,Catch at St. Regis
91,,['Egyptian'],Tourist Club Area (Al Zahiyah),Koshari Factory
92,,"['Cafe', 'Fast Food']","Al Wahda Mall, Al Wahda",Bloomsbury's
93,,"['American', 'Fast Food', 'Burger']","Al Wahda Mall, Al Wahda",Fuddruckers
94,,"['Turkish', 'Bakery', 'Mediterranean', 'Arabian', 'Middle Eastern', 'Cafe', 'Beverages']",Tourist Club Area (Al Zahiyah),Gunaydin Gourmet
95,,"['Pakistani', 'Indian']",Al Markaziya,Pakwaan Foods
96,,"['Lebanese', 'Arabian', 'Middle Eastern', 'Fast Food']",Tourist Club Area (Al Zahiyah),Mora
97,,['Chinese'],Tourist Club Area (Al Zahiyah),Kawloon
98,,"['Chinese', 'Asian', 'Seafood']",Muroor,Oasis Garden Chinese Restaurant
99,,"['Pizza', 'Fast Food']",Tourist Club Area (Al Zahiyah),Pizza Hut
100,,"['Chinese', 'Mughlai', 'Indian']",Tourist Club Area (Al Zahiyah),Hot Plate
101,,"['Italian', 'Pizza', 'Afghan']",Al Dhafrah,Gudee Pizza & Cafe
102,,"['Lebanese', 'Arabian', 'Middle Eastern', 'Healthy Food']",Najda,Shawarma Time
103,,"['American', 'Burger', 'Cafe']",Al Dhafrah,Secret
104,,"['Cafe', 'Beverages', 'Fast Food', 'Italian']",Al Karamah,FiLLi
105,,"['Indian', 'Mughlai', 'Chinese', 'Grill']",Al Markaziya,Airlines Restaurant
106,,"['American', 'Fast Food', 'Burger']",Al Nahyan,Huff & Puff Burger
107,,"['Indian', 'Chinese', 'Goan', 'Seafood', 'North Indian', 'South Indian']",Najda,Konkans
108,,['International'],Tourist Club Area (Al Zahiyah),Malaga
109,,['Burger'],Al Khalidiya,Firefly Burger
110,,['Burger'],Al Mushrif,Graffiti Burger
111,,"['Arabian', 'Middle Eastern', 'BBQ', 'Grill']",Al Dhafrah,Al Sultan Restaurant & Grill
112,,"['North Indian', 'Indian', 'Biryani']",Tourist Club Area (Al Zahiyah),Motimahal Delux
113,,['Korean'],Al Nahyan,Manna Land Korean Restaurant
114,,['Pizza'],Al Khalidiya,Freedom Pizza
115,,"['American', 'Steak']","Yas Mall, Yas Island",Texas Roadhouse - تكساس رودهاوس
116,,"['Burger', 'Fast Food']",Muroor,The Burgerista
117,,"['Thai', 'Asian', 'Chinese', 'Indian', 'Japanese', 'Sushi']",Najda,Royal Orchid
118,,"['Arabian', 'Middle Eastern', 'Lebanese', 'Street Food']",Najda,Shawarma Street
119,,"['Brazilian', 'Steak']","InterContinental Abu Dhabi, Al Khubeirah",Chamas Churrascaria & Bar
120,,"['Coffee', 'Contemporary', 'Continental', 'Desserts']",Al Mushrif,Parker's
