,cost_for_two,cuisines,locality,rest_name
66,,"['Fast Food', 'Lebanese', 'Beverages']","Corniche Tower, Ajman Corniche",FALAFEL - فلافل
67,,"['Indian', 'Biryani']",Al Rashidiya 2,Dukkan Biryani
68,,"['Indian', 'North Indian', 'Tea']",Al Rashidiya 3,Punjabi Dhaba
69,,['Pizza'],Al Rumailah,Pizza Hut
70,,"['Pakistani', 'Indian', 'North Indian']",Nuaimiya,Hazara Restaurant
71,,['International'],"Fairmont Ajman, Ajman Corniche",Spectrum - Fairmont Ajman
72,,"['Indian', 'Italian', 'Filipino', 'Fast Food']",Al Rashidiya 3,Handiwalaa
73,,"['South Indian', 'North Indian', 'Fast Food']",Al Rashidiya 3,My Flower Restaurant
74,,['Turkish'],"Fairmont Ajman, Ajman Corniche",Kiyi - Fairmont Ajman
75,,['International'],"Fairmont Ajman, Ajman Corniche",Spectrum - Fairmont Ajman
76,,"['Indian', 'South Indian', 'Kerala']",Ajman Industrial Area,Malabar Thattukada
77,,"['Indian', 'Italian', 'Filipino', 'Fast Food']",Al Rashidiya 3,Handiwalaa
78,,['Turkish'],"Fairmont Ajman, Ajman Corniche",Kiyi - Fairmont Ajman
79,,"['Chinese', 'Asian']",Meshairef,Chin Chin
80,,"['Fast Food', 'Burger']","City Centre Ajman, Al Jurf",Jollibee
81,,['Finger Food'],"Ajman Saray, Ajman Corniche",Bab Al Bahr - Ajman Saray
82,,"['Indian', 'South Indian', 'Biryani']",Al Rashidiya 1,Foodbook Restaurant
83,,"['Fast Food', 'Burger', 'American']","Emarat Petrol Station, Meshairef",Burger King
84,,"['Indian', 'Chinese', 'Biryani', 'Beverages']",Al Nakhil,Bombay Durbar
85,,"['Japanese', 'Thai']","Bahi Ajman Palace Hotel, Ajman Corniche",Dragon's Place - Bahi Ajman Palace Hotel
86,,"['Burger', 'Fast Food']",Ajman Industrial Area,Hardee's - هارديز
87,,['Seafood'],"Wyndham Garden, Ajman Corniche",Seascape Restaurant
88,,['Fast Food'],"City Centre Ajman, Al Jurf",Popeyes
89,,['Cafe'],"Corniche Tower, Ajman Corniche",Filli
90,,"['Cafe', 'Desserts']","City Centre Ajman, Al Jurf",Cinnabon
91,,"['Arabian', 'Middle Eastern']","Radisson Blu Hotel Ajman, Al Jurf, Ajman",Mazaj Bar & Shisha Lounge
92,,['Cafe'],"Corniche Avenue, Ajman Corniche",PappaRoti
93,,"['Fast Food', 'Healthy Food', 'American', 'Salad']","Corniche Mall, Ajman Corniche",Subway
94,,"['Italian', 'Fast Food']","Fairmont Ajman, Ajman Corniche",Gioia - Fairmont Ajman
95,,"['Burger', 'Fast Food']",Al Hamidiya,Container Burger
96,,"['Italian', 'Fast Food']",Al Zahra,Potato & Pasta
97,,['Fast Food'],"City Centre Ajman, Al Jurf",Popeyes
98,,['Finger Food'],"Ajman Saray, Ajman Corniche",Bab Al Bahr - Ajman Saray
99,,"['Fast Food', 'Healthy Food']",Al Hamidiya,Cook Connect Restaurant
100,,"['Burger', 'American', 'Fast Food']",Al Rashidiya 2,McDonald's
101,,"['Burger', 'Fast Food']",Ajman Industrial Area,Hardee's - هارديز
102,,['Fast Food'],"Emarat Petrol Station, Meshairef",Texas Chicken
103,,"['Cafe', 'Arabian', 'Middle Eastern']","Ajman One Towers, Al Rashidiya 3",Al Mukhtar Bakery
104,,"['Cafe', 'American', 'Coffee', 'Beverages']","Grand Centrale Mall, Al Jurf",Tim Hortons
105,,"['Middle Eastern', 'Fast Food', 'Desserts']",Al Rashidiya 2,Feras Sweets
