,cost_for_two,cuisines,locality,rest_name
120,,"['Burger', 'Fast Food']",Al Majaz,Hardee's
121,,['Italian'],University City,Italiere
122,,['Chinese'],Al Mujarrah,Wardat Beijing Chinese Restaurant
123,,"['Lebanese', 'Italian', 'Beverages']",Al Khan,On The Wood - عالحطب
124,,"['North Indian', 'Street Food']",Muwailih Commercial,Desi Chaat
125,,"['Mandi', 'Emirati', 'Yemeni', 'Middle Eastern']",Al Majaz,Warsan Mandi Restaurant
126,,['Afghan'],Al Majaz,Al Kabab Al Afghani
127,,"['Fast Food', 'Arabian', 'Middle Eastern', 'Chinese', 'Beverages']",Al Nahda,Arabian Taste
128,,"['Indian', 'Hyderabadi', 'Biryani']",Abu Shagara,Al Loqmah Al Laziziah
129,,"['Biryani', 'Chinese', 'Indian', 'South Indian']",Al Nahda,Taj Bangalore Restaurant
130,,"['Fast Food', 'Burger', 'Arabian', 'Indian', 'Beverages', 'Juices']",Al Khan,Burj Al Khan - برج الخان
131,,"['Mandi', 'Arabian', 'Middle Eastern', 'Yemeni']",Halwan Suburb,Wadi Raidan Mandi - وادي ريدان للمندي
132,,"['Fast Food', 'Burger', 'Desserts', 'Beverages']",Al Mirgab,Smoothies (Al Toot Al Aswaad)
133,,"['Italian', 'Fast Food', 'Desserts', 'Beverages']",Al Majaz,Italian Pizza Kawkab Restaurant - كوكب...
134,,"['Bakery', 'Cafe']",Abu Shagara,Mister Baker
135,,"['Bakery', 'Cafe']",Abu Shagara,Mister Baker
136,,"['Cafe', 'Indian', 'Fast Food', 'Beverages']",Al Nahda,FiLLi
137,,"['Fast Food', 'Indian']",Al Ghuwair,Al Rajwah Cafeteria
138,,"['Pakistani', 'Indian', 'Biryani', 'Grill', 'BBQ']",Abu Shagara,Bab Deira
139,,"['Parsi', 'Chinese', 'Indian', 'Seafood']",Al Nasseriya,Emirates Sea
140,,"['Arabian', 'Middle Eastern', 'Bakery']",Al Taawun,Safartas - سفرطاس
141,,"['Fast Food', 'Burger', 'American']",Al Majaz,McDonald's
142,,"['Fast Food', 'Beverages']","Owais Building, Al Mujarrah",Ice & Berry
143,,"['Indian', 'Asian']",Muwailih Commercial,Foodbook Restaurant
144,,"['Pizza', 'Italian', 'Continental']",Al Majaz,Pizza Lazeeza
145,,"['North Indian', 'South Indian', 'Chinese', 'Seafood']",Al Mujarrah,Coastal Delicacies Restaurant
146,,"['Indian', 'North Indian', 'South Indian']",Al Nahda,Vasanta Bhavan Vegetarian Restaurant
147,,"['Indian', 'Japanese', 'Sushi']",Industrial Area,Kuizinn
148,,"['Indian', 'South Indian']",Al Shuwaihean,Hadaeq Chennai Restaurant
149,,"['American', 'Fast Food', 'Burger']",University City,Astoria Burger
150,,['Pakistani'],Al Majaz,Rahat Al Madinah
151,,"['Pakistani', 'Indian', 'Biryani']",Al Nahda,Student Biryani
152,,"['Ice Cream', 'Desserts']","Al Majaz Waterfront, Al Majaz 3",Cold Stone Creamery - كولد ستون كريمري
153,,"['Arabian', 'Middle Eastern', 'Lebanese', 'Juices']",Al Majaz,Jabal Lebnan Al Jadeed Restaurant
154,,"['Chinese', 'North Indian', 'Kebab', 'South Indian', 'Kerala', 'Asian', 'Filipino']",Al Nahda,Kabab Cochin
155,,['Pizza'],Al Majaz,Domino's
156,,"['Arabian', 'Middle Eastern', 'North Indian']",Al Nahda,Chicken Tikka
157,,"['Indian', 'Chinese', 'Grill', 'Fast Food']",Abu Shagara,Hot Burger
158,,"['Mandi', 'Arabian', 'Middle Eastern']",University City,Maraheb - مطعم مراحب
159,,"['Indian', 'Hyderabadi']",Abu Shagara,Al Arz Al Lazeez Restaurant
160,,['Turkish'],Sharqan,Mado
161,,"['Cafe', 'Continental', 'Healthy Food', 'Coffee']",University City,Storie Cafe
162,,"['Burger', 'American', 'Beverages']",Al Taawun,Wazzup Dog
163,,"['Indian', 'Kerala', 'Chinese', 'Grill']",Al Nahda,Ajmal Tasty Restaurant
164,,"['Street Food', 'Indian']",Abu Shagara,Mithaas Fast Food
165,,"['Indian', 'South Indian', 'North Indian', 'Chinese', 'Gujarati']",Halwan Suburb,Madeenat Haridwar
166,,['Fast Food'],Al Nahda,Taza
167,,"['Indian', 'Pakistani', 'Grill']",Abu Shagara,Al Rawayat Restaurant
168,,"['Kerala', 'South Indian', 'North Indian']",Abu Shagara,Malanaad Restaurant
169,,"['Indian', 'North Indian']",Al Ghuwair,Jaipur Restaurant
170,,"['Indian', 'Chinese', 'Fast Food']",Al Nahda,Food Park City Restaurant
171,,"['South Indian', 'North Indian', 'Chinese']",Industrial Area,Nila Restaurant
172,,"['Grill', 'Arabian', 'Middle Eastern']",Al Nahda,Al Zaki Grills
173,,"['Arabian', 'Chinese', 'Indian', 'Seafood']",Al Majaz,Sealand Restaurant
174,,['Indian'],"Sahara Centre, Al Nahda",Paratha King
175,,"['North Indian', 'South Indian', 'Chettinad', 'Biryani']",Abu Shagara,Karaikudi Chettinad Mess
176,,"['Indian', 'South Indian']",Al Khan,Saarangaa Bhojan Shala
177,,['Cafe'],"Sahara Centre, Al Nahda",PappaRoti Cafe
178,,"['Pizza', 'Italian']",Al Majaz,The Pizza Pie Factory
179,,"['Chinese', 'Asian', 'Thai', 'Seafood']","Ansar Mall, Al Nahda",Wuhan Restaurant
180,,"['Arabian', 'Middle Eastern', 'Emirati', 'Seafood']","Al Majaz Waterfront, Al Majaz 3",Al Fanar Restaurant & Café - الفنر
181,,"['Lebanese', 'Healthy Food', 'Street Food']",University City,Manoushe Street
182,,"['Arabian', 'Middle Eastern']",Al Majaz,Najmat Al Badyah
183,,"['Fast Food', 'Burger']","Sharjah City Centre, Industrial Area 1-6",Jollibee
184,,"['Desserts', 'Beverages']",Al Majaz,Karaz Al Sham
185,,"['Indian', 'Biryani']",Al Mahatah,Madras Bucket Biryani (Al Jazeerah Al Jameela...
186,,"['Hyderabadi', 'Biryani', 'Mughlai']",Abu Shagara,Al Joory
